'category','modName','modurl','altsrc','altsrcurl','status','description','notes','approveddate','approvedby'
'quality of life','BetterAutoRun',' https://thunderstore.io/c/valheim/p/nearbear/BetterAutoRun/','Nexus','https://www.nexusmods.com/valheim/mods/699','Working - Approved','Instead of running in a straight line in the direction the character is facing when enabling Auto Run, the player will run in the direction you aim your mouse. Can sprint until X amount of stam so you don''t have to hold shift to sprint',,07/12/21,'Jemmeh'
'quality of life','Ragnars Better Autorun',' https://thunderstore.io/c/valheim/p/Ragnar/Ragnars_Better_Autorun/',,,'Working - Approved','Alternate option for Better Auto Run',,10/14/23,'eardwulf@'
'quality of life','BetterLadders',' https://thunderstore.io/c/valheim/p/Amar1729/BetterLadders/','Nexus','https://www.nexusmods.com/valheim/mods/1054','Working - Approved','Go up ladders smoothly.',,04/26/21,
'quality of life','ImprovedDvergerCirclet',' https://thunderstore.io/c/valheim/p/RandyKnapp/ImprovedDvergerCirclet/','Nexus','https://www.nexusmods.com/valheim/mods/79','Broken',,,06/27/21,'Jemmeh'
'quality of life','AssemblyLine',' https://thunderstore.io/c/valheim/p/ComfyMods/AssemblyLine/',,,'Working - Approved','Allows multiple crafts with one click.','Comfy Replacement for Multicraft.',08/31/23,'Bruce'
'quality of life','ContentsWithin',' https://thunderstore.io/c/valheim/p/MSchmoecker/ContentsWithin/',,,'Working - Approved','Show the contents of any chest when hovering over it','Fork of the original Redseiko mod that is no longer maintained',03/06/21,'redseiko@'
'quality of life','Show Container Contents',,'Nexus','https://www.nexusmods.com/valheim/mods/829','Working - Approved','Hover text shows content','If using with BetterUI set BetterUI  "chestHasRoomStyle" to 0. Currently incompatible with BetterUI Reforged',05/11/21,
'quality of life','TorchesAndResin',' https://thunderstore.io/c/valheim/p/ComfyMods/TorchesAndResin/',,,'Working - Approved','Sets all torches to 10,000 resin on placement.','@redseiko mod.',04/21/21,'redseiko@'
'quality of life','Weightless Coins',' https://thunderstore.io/c/valheim/p/Menthus/Weightless_Coins/','Nexus','https://www.nexusmods.com/valheim/mods/607','Working - Approved','Make coins weightless or config weight.',,05/05/21,
'quality of life','Fartheim',,'Nexus','https://www.nexusmods.com/valheim/mods/1044?tab=description','Working - Approved','...everything farts.','Approved for Martin...',08/21/21,'redseiko@'
'quality of life','MultiplayerBoatDamage',' https://thunderstore.io/c/valheim/p/1010101110/multiplayerboatdamage/',,,'Working - Approved','Reduce the noise from boats taking constant damage, which is common on multiplayer servers.',,02/11/22,'Jemmeh'
'quality of life','Instaloot',' https://thunderstore.io/c/valheim/p/ComfyMods/Instaloot/',,,'Working - Approved','Makes all monster loot drop instantly.','Comfy replacement for deprecated InstantMonsterLootDrop mod.',10/27/23,'redseiko@'
'quality of life','InteractWhileBuilding',' https://thunderstore.io/c/valheim/p/tonsit/InteractWhileBuilding/',,,'Working - Approved','Allows you to interact with things even with your hammer out. Saves time when building for things like opening doors and chests. ',,02/14/22,'Jemmeh'
'quality of life','QuietPortals',' https://thunderstore.io/c/valheim/p/Neobotics/QuietPortals/','Nexus','https://www.nexusmods.com/valheim/mods/1981/','Working - Approved','Adjust the volume of active portals or silence them completely.',,08/25/22,'redseiko@'
'quality of life','ComfyAddAllFuel',' https://thunderstore.io/c/valheim/p/ComfyMods/ComfyAddAllFuel/','Github','https://github.com/BruceOfTheBow/ValheimMods-1/tree/master/AddAllFuel','Working - Approved','Add all fuel or ore with modifier key instead of 1-by-1.','Comfy version removes pulling from containers which landed the original mod on the denied list',09/06/22,'Bruce'
'quality of life','ComfyBatchDeposit',' https://thunderstore.io/c/valheim/p/ComfyMods/ComfyBatchDeposit/','Github','https://github.com/BruceOfTheBow/ComfyBatchDeposit','Working - Approved','Drops or deposits all of one item type to/from your inventory.','Developed by Bruce',10/12/22,'Bruce'
'quality of life','SearsCatalog',' https://thunderstore.io/c/valheim/p/ComfyMods/SearsCatalog/',,,'Working - Approved','Resize and reposition the build panel in-game.','Uninstall/disable ComfyBuildExpansion!',12/28/22,'redseiko@'
'quality of life','ComfyMassFarming',' https://thunderstore.io/c/valheim/p/EardwulfDoesMods/ComfyMassFarming/',,,'Working - Approved','Plant more plants with a single click.','Fork of Xeio''s Mass Farming',01/19/23,'eardwulf@'
'quality of life','DumpsterFire',' https://thunderstore.io/c/valheim/p/ComfyMods/DumpsterFire/',,,'Working - Approved','Delete items.','Substitute for trash mod which spams error log',03/18/23,'Bruce'
'quality of life','ComfyAutoPIcker',' https://thunderstore.io/c/valheim/p/EardwulfDoesMods/ComfyAutoPicker/','GitHub','https://github.com/EardwulfC/EardwulfDoesMods_PublicMods/tree/master/ComfyAutoPicker','Working - Approved','Auto-pick your veggies as you walk over them.',,10/14/23,'eardwulf@'
'quality of life','Abacus',' https://thunderstore.io/c/valheim/p/ComfyMods/Abacus/','Github','https://github.com/BruceOfTheBow/BruceComfyMods/tree/main/Abacus','Working - Approved','Stack splitting made easy. Split stacks with preset values.',,10/25/23,'Bruce'
'quality of life','Hoovernt',' https://thunderstore.io/c/valheim/p/Mayo/Hoovernt/','GitHub','https://github.com/Mayo-jar/Mayo-Valheim-Mods','Working - Approved','On install, this mod will remove the autopickup re-enable upon death.',,11/18/23,'Bruce'
'quality of life','AAV',' https://thunderstore.io/c/valheim/p/Mayo/AAV/','GitHub','https://github.com/Mayo-jar/Mayo-Valheim-Mods','Working - Approved','Prevents consumption of meads when health or stamina is above 90%',,11/21/23,'Bruce'
'quality of life','MorDoor',' https://thunderstore.io/c/valheim/p/Mayo/MorDoor/','GitHub','https://github.com/Mayo-jar/Mayo-Valheim-Mods/tree/main/MorDoor','Working - Approved','Two adjacent doors open in sync when interacting with one.',,11/23/23,'Bruce'
'quality of life','Wardrobe',' https://thunderstore.io/c/valheim/p/EardwulfDoesMods/Wardrobe/','GitHub','https://github.com/EardwulfC/EardwulfDoesMods_PublicMods/tree/master/Wardrobe','Working - Approved','Allows you to swap gear with an ArmorStand',,01/13/24,'eardwulf@'
'quality of life','Pintervention',' https://thunderstore.io/c/valheim/p/ComfyMods/Pintervention/','GitHub','https://github.com/BruceOfTheBow/BruceComfyMods/tree/main/Pintervention','Working - Approved','Filter Pins by player and control over cartography table data.',,01/31/24,'Bruce'
'quality of life','Scenic',' https://thunderstore.io/c/valheim/p/ComfyMods/Scenic/','GitHub','https://github.com/redseiko/ComfyMods/tree/main/Scenic','Working - Approved','If you see ZNetScene.RemoveObjects() NRE red-text in your logs, install this.',,02/02/24,'redseiko@'
'quality of life','OdinSaves',' https://thunderstore.io/c/valheim/p/ComfyMods/OdinSaves/','GitHub','https://github.com/redseiko/ComfyMods/tree/main/OdinSaves','Working - Approved','Saves your player profile more often.',,02/16/24,'redseiko@'
'quality of life','No Puke',' https://thunderstore.io/c/valheim/p/VentureValheim/No_Puke/','GitHub','https://github.com/OrianaVenture/VentureValheim/tree/master/NoPuke','Working - Approved','Disables the puking sounds and animations. Use if you have a sensitive stomach.',,02/23/24,'redseiko@'
'quality of life','No Grass',' https://thunderstore.io/c/valheim/p/VentureValheim/No_Grass/','GitHub','https://github.com/OrianaVenture/VentureValheim/tree/master/NoGrass','Working - Approved','Adds back the option to select no grass in your game settings vegetation slider.',,02/23/24,'redseiko@'
'quality of life','Passward',' https://thunderstore.io/c/valheim/p/ComfyMods/PassWard/','Github','https://github.com/BruceOfTheBow/BruceComfyMods/tree/main/PassWard','Working - Approved','Adds the ability to set passwords on wards and have other players opt in via password','Uninstall old v1.0.0 from BruceMods, install v1.1.0 from ComfyMods.',,
'quality of life','YolkMe',' https://thunderstore.io/c/valheim/p/EardwulfDoesMods/YolkMe/','Github','https://github.com/EardwulfC/EardwulfDoesMods_PublicMods/tree/master/YolkMe','Working - Approved','Enables autoPickup on Chicken Eggs',,03/08/24,'eardwulf@'
'quality of life','Portalvator',' https://thunderstore.io/c/valheim/p/SSMVC/Portalvator/','GitHub','https://github.com/McSpazzy/VMods','Working - Approved','Yet another fast portal mod. Specifically built for vertical travel only. It only activates if the destination portal is in the same, or adjacent sector. Also if the target sector is not fully loaded, it will fall back to default portal mode.','A maxilus@ mod',06/13/24,'eardwulf@'
'quality of life','SplitStack',' https://thunderstore.io/c/valheim/p/SSMVC/SplitStack/','GitHub','about:blank','Working - Approved','Split stacks of items in various ways. should not allow you to overfill chests/inventory by limiting how many stacks or how large stack sizes can be. Split modifier keys can be customized in config.','A maxilus@ mod',06/13/24,'eardwulf@'
'quality of life','HeatBar',' https://thunderstore.io/c/valheim/p/SSMVC/HeatBar/','GitHub','about:blank','Working - Approved','Adds a bar to show how quickly you''re overheating from the water or lava in the Ashlands.','A maxilus@ mod',06/13/24,'eardwulf@'
'quality of life','FightMeBro',' https://thunderstore.io/c/valheim/p/EardwulfDoesMods/FightMeBro/','GitHub','https://github.com/EardwulfC/EardwulfDoesMods_PublicMods/tree/master/FIghtMeBro','Working - Approved','Do you enjoy PvP? Then you should FightMeBro! Automatically flags your character for PvP on Spawn or Respawn.',,10/22/24,'eardwulf@'
'quality of life','SecretMap',' https://thunderstore.io/c/valheim/p/EardwulfDoesMods/SecretMap/','GitHub','https://github.com/EardwulfC/EardwulfDoesMods_PublicMods/tree/master/SecretMap','Working - Approved','This mod is intended to the solve the bug that sometimes occurs with the cartography table that results in your shared map data being forced to on with no toggle button visible to turn it off.  This mod will force shared map data to hidden by default and force the toggle to show.',,09/05/25,'eardwulf@'
'building','ChestSnap',' https://thunderstore.io/c/valheim/p/Frogger/ChestSnap/',,,'Working - Approved','Adds snap points to chests',,03/09/23,'eardwulf@'
'building','ComfyGizmo',' https://thunderstore.io/c/valheim/p/ComfyMods/Gizmo/',,,'Working - Approved','An advanced building tool for rotating pieces in any direction.','Uninstall any manually installed versions of Gizmo before installing from the Thunderstore!',09/06/22,'redseiko@'
'building','Item Stand All Items',' https://valheim.thunderstore.io/package/JereKuusela/Item_Stand_All_Items/','Nexus','https://www.nexusmods.com/valheim/mods/1244','Working - Approved','Enables more items to be placed on item stands.',,06/04/21,'redseiko@'
'building','PlantThings',' https://thunderstore.io/c/valheim/p/ComfyMods/PlantThings/',,,'Working - Approved','Comfy replacement for Plant It. Gives you more plant objects to build.','Only people with the mod can see it.',09/15/23,'Bruce'
'building','SkyTree',' https://thunderstore.io/c/valheim/p/ComfyMods/SkyTree/',,,'Working - Approved','Turns yggdrasil into an object so you can interact with it. This will let you walk and build on it.','You''ll still need an admin/mod to build a portal to allow you up there... OR build a ladder to the sky.',06/30/21,'redseiko@'
'building','FenceSnap',' https://thunderstore.io/c/valheim/p/MSchmoecker/FenceSnap/','Nexus','https://www.nexusmods.com/valheim/mods/1737?tab=description','Working - Approved','Adds snappoints to fences and sharp stakes',,03/08/22,'Noctis'
'building','Snap Points Made Easy',,'Nexus','https://www.nexusmods.com/valheim/mods/1504','Working - Approved','Allows you to cycle through various snap-points when targeting a piece in game without needing to point at them directly with the mouse.','It is recommended you rebind your hotkeys for this mod if using along with Gizmo.',04/08/21,
'building','PotteryBarn',' https://thunderstore.io/c/valheim/p/ComfyMods/PotteryBarn/',,,'Working - Approved','Public build extension that addes prefabs to the hammers build options','Adds Stone Floor 4x4 prefab to the Hammer''s "Building" Options.',12/10/21,'Redseiko/Noctis'
'building','ZoneScouter',' https://thunderstore.io/c/valheim/p/ComfyMods/ZoneScouter/',,,'Working - Approved','Shows transparent walls for sector boundaries as well as ZDO/instance counts for current/surrounding sectors.','redseiko@ mod.',07/05/22,'redseiko@'
'building','Pathside Assistance',' https://thunderstore.io/c/valheim/p/VentureValheim/Pathside_Assistance/',,,'Working - Approved','Adds additional path and cultivator options to help keep the terrain more natural in your world.',,02/26/24,'redseiko@'
'building','StructurallyImpossible',' https://thunderstore.io/c/valheim/p/SSMVC/StructurallyImpossible/',,,'Working - Approved','Any prefabs placed will have data set to permanently ignore stability checks.','Uses custom data fields. Requires Unstrippable for vanilla compatibility.',02/11/25,'redseiko@'
'building','Unstrippable',' https://thunderstore.io/c/valheim/p/ComfyMods/Unstrippable/',,,'Working - Approved','Disable ZDO data stripping when loading world files.','Needed by mods that use custom data fields. Must be installed on the server/player that is loading the world file.',04/28/24,'redseiko@'
'visual','Badgers Valheim Skies',,'Nexus','https://www.nexusmods.com/valheim/mods/1594','Working - Approved','Enables HD textures for skies.','You will also need to get the texture pack below.',10/25/21,'redseiko@'
'visual','Pseudonym',' https://thunderstore.io/c/valheim/p/ComfyMods/Pseudonym/',,,'Working - Approved','Change your player character name and appearance.','Replacement for Character Edit Button.',12/29/22,'redseiko@'
'visual','ColorfulDamage',' https://thunderstore.io/c/valheim/p/ComfyMods/ColorfulDamage/',,,'Working - Approved','Custom your damage numbers!','redseiko@ mod.',10/27/22,'redseiko@'
'visual','ColorfulLights',' https://thunderstore.io/c/valheim/p/ComfyMods/ColorfulLights/',,,'Working - Approved','You can color any torch, firepit, stone hearth and bonfire using RGB and HTML color codes!','Report any bugs with this to redseiko@.',07/01/21,'redseiko@'
'visual','ColorfulPieces',' https://thunderstore.io/c/valheim/p/ComfyMods/ColorfulPieces/',,,'Working - Approved','You can color any building piece using RGB and HTML color codes!','Report any bugs with this to redseiko@. (Sept 24, 2021 - Conflicts with ValheimPerformanceOptimizations. If running both it will make things appear "randomly" colored)',07/04/21,'redseiko@'
'visual','ColorfulPortals',' https://thunderstore.io/c/valheim/p/ComfyMods/ColorfulPortals/',,,'Working - Approved','You can color any portal using RGB and HTML color codes!','Report any bugs with this to redseiko@.',07/03/21,'redseiko@'
'visual','ColorfulWards',' https://thunderstore.io/c/valheim/p/ComfyMods/ColorfulWards/',,,'Working - Approved','You can color any ward using RGB and HTML color codes.','Report any bugs with this to redseiko@.',07/03/21,'redseiko@'
'visual','ComfySigns',' https://thunderstore.io/c/valheim/p/ComfyMods/ComfySigns/',,,'Working - Approved','Changes the Sign text default font color to white and enables changing the font.','redseiko@ mod.',03/16/23,'redseiko@'
'visual','Custom Textures',,'Nexus','https://www.nexusmods.com/valheim/mods/48','Working - Approved','Replace in game textures with custom png files',,05/23/21,
'visual','DyeHard',' https://thunderstore.io/c/valheim/p/ComfyMods/DyeHard/',,,'Working - Approved','Change your player''s hair color in-game to anything :)',,07/22/21,'redseiko@'
'visual','FarmGrid',' https://thunderstore.io/c/valheim/p/SarcenNexusMods/FarmGrid/','Nexus','https://www.nexusmods.com/valheim/mods/449','Broken-Not Approved','Shows grid so plants have enough room to grow.','This mod is broken and has been replaced with VentureFarmGrid.',04/08/21,
'visual','VentureFarmGrid',' https://thunderstore.io/c/valheim/p/VentureValheim/Venture_Farm_Grid/',,,'Working - Approved','Plant in a customizable grid for perfect evenly spaced crops.','Replacement for FarmGrid.',11/07/24,'redseiko@'
'visual','LicensePlate',' https://thunderstore.io/c/valheim/p/ComfyMods/LicensePlate/',,,'Working - Approved','Name your ships and your carts.','redseiko@ mod.',10/14/22,'redseiko@'
'visual','Reshade >',,,,'Approved -but not Tested','Change the look of the game. ',,05/22/21,
'visual','Silence',' https://thunderstore.io/c/valheim/p/ComfyMods/Silence/',,,'Working - Approved','Completely hide the chat windows and in-game say/shout with a shortcut. Good for video and screenshots.','Report any bugs with this to redseiko@.',09/20/21,'redseiko@'
'visual','LensCap',' https://thunderstore.io/c/valheim/p/ComfyMods/LensCap/',,,'Working - Approved','Remove Lens dirt from camera when bloom is enabled. Replaces NoLensDirt',,09/04/23,'Bruce'
'visual','Troll Armor Rework',,'Nexus','https://www.nexusmods.com/valheim/mods/175','Working - Approved','Change color of Troll armor.','Changes only visible to you.',04/08/21,
'visual','Valheim VRM',,'Nexus','https://www.nexusmods.com/valheim/mods/850','Approved -but not Tested','Replace your model with any VRM model.','Only you can see it unless someone else also has the VRM mod and also has your .vrm file.',04/07/21,
'visual','ColorBubble',' https://thunderstore.io/c/valheim/p/SSMVC/ColorBubble/',,,'Working - Approved','Lets you adjust the color of your bubble from the Staff of Protection and it allows you to see how much health your bubble has left.',,05/30/24,'eardwulf@'
'visual','FrostBeGone',' https://thunderstore.io/c/valheim/p/SSMVC/FrostBeGone/',,,'Working - Approved','Prevent the build-up of ice staff particle effects in multiplayer',,07/11/24,'eardwulf@'
'textures','Reshade',,,,'Working - Approved','Reshade is an external program for post-processing FX.','Allowed for purposes of the HD Valheim Reshade preset.',04/16/22,'redseiko@'
'textures','Willybach''s HD Valheim',,'Nexus','https://www.nexusmods.com/valheim/mods/1030','Working - Approved','HD texture pack','Reported as not having any problems (August/14/2022).',05/12/21,
'textures','Coco''s Texture Pack',,'Nexus','https://www.nexusmods.com/valheim/mods/757','Approved -but not Tested','Another HD texture pack.',,07/30/21,'redseiko@'
'textures','HD Skies for Valheim',,'Nexus','https://www.nexusmods.com/valheim/mods/1593/?tab=description','Working - Approved','HD texture pack for skies to use with Badger''s Valheim Skies mod.',,10/25/21,'redseiko@'
'textures','Cwispy HD Valheim Texture Pack',,'Nexus','https://www.nexusmods.com/valheim/mods/1930?tab=description','Working - Approved','HD texture pack.',,09/10/22,'redseiko@'
'textures','Valehim SFX - Beavis and Goblin',,,,,,,,
'audio','GrassTweaks',,'Nexus','https://www.nexusmods.com/valheim/mods/797','Approved -but not Tested','...sigh, it''s the laugh from Beavis and Butthead.','Requested by a certain player.',06/19/21,'redseiko@'
'performance','ValheimPerformanceOptimization',' https://thunderstore.io/c/valheim/p/ontrigger/ValheimPerformanceOptimizations/','Nexus','https://www.nexusmods.com/valheim/mods/306?tab=description','Approved -but not Tested',,,02/25/22,'Jemmeh'
'performance','ValheimFPSBoost',' https://thunderstore.io/c/valheim/p/castix/ValheimFPSBoost/',,,'Broken-Not Approved','Rendering, logic, and loading time optimizations for Valheim.','(Most people may not want this mod because of this)Sept 24, 2021 - Conflict with colorful pieces that makes things appear "randomly" colored',06/30/21,
'performance','ValheimFPSBoost2',,'Nexus','https://www.nexusmods.com/valheim/mods/147','Working - Approved','Lowers internal graphics to get more FPS.','Will make game look worse.',05/09/21,
'performance','ValheimFPSPlus',' https://thunderstore.io/c/valheim/p/KillerGoldFisch/ValheimFPSPlus/','Nexus','https://www.nexusmods.com/valheim/mods/1013','Working - Approved','Disable shadows for better FPS. Aka the game will look worse, but will run more smoothly.','Will make the graphics look worse.',02/02/22,'Jemmeh'
'performance','QuietWindmills',' https://thunderstore.io/c/valheim/p/ComfyMods/QuietWindmills/',,,'Approved -but not Tested','Change more quality settings. Optional turn snowstorm into regular snow.','Some settings may make the game look worse.',09/17/21,'Jemmeh'
'performance','Compress',' https://valheim.thunderstore.io/package/ComfyMods/Compress/',,,'Working - Approved','Control volume on windmills and whether they spin while not in use.','Replacement for Wind Mill Fix',09/04/23,'Bruce'
'performance','GraphicsConfigPlus',,,,'Deprecated-Not Approved','Compresses ZDO data synced between server and client. No longer maintained or running on the server. Do not install.','This mod is live and installed on Comfy Valheim. Please make use of it to see if it helps with lag. Not enabled for the time-being. No need to use this.',10/25/21,'redseiko@'
'performance','BetterChat',' https://thunderstore.io/c/valheim/p/Crystal/BetterChat/','Nexus','https://www.nexusmods.com/valheim/mods/351','Broken-Not Approved','Enables more/deeper graphics settings for tweaking.','Last updated March/2021 when Valheim was on Unity 2019 (now Unity 2020).',10/09/20,'redseiko@'
'ui','BetterUI_ForeverMaintained',' https://valheim.thunderstore.io/package/BetterUI_ForeverMaintained/BetterUI_ForeverMaintained/',,,'Broken-Not Approved','Improved chat features','Please notify if fixed, and will be approved again.',04/08/21,
'ui','Enhuddlement',' https://thunderstore.io/c/valheim/p/ComfyMods/Enhuddlement/',,,'Working - Approved','BetterUI fixed for v0.217.25.','Ensure you have uninstalled the older/broken BetterUI before installing this. Does not work with ShowContainerContents mod.',01/16/22,'redseiko@'
'ui','Enigma',' https://valheim.thunderstore.io/package/ComfyMods/Enigma/',,,'Working - Approved','EnemyHud enhancement and customization.','Replaces parts of BetterUI and adds new features and customization options for EnemyHud. Not compatible with VHVR.',01/08/23,'redseiko@'
'ui','BetterPickupNotificatons',,,,'Working - Approved','Decode enemy names.','Allows viewing custom enemies names set by comfy staff in events',02/23/23,'Bruce'
'ui','Comfy Quick Slots',' https://valheim.thunderstore.io/package/ComfyMods/ComfyQuickSlots/','Nexus','https://www.nexusmods.com/valheim/mods/528','Working - Approved','See everything you''re picking up more easily.',,04/08/21,
'ui','Civilized Chat',,,,'Working - Approved','Armor and Quick Slots mod to replace Equipment and Quickslots mod fixing item deletion issues.','If using BetterUI reforged, set ''showDurabilityColor'' to false otherwise errors will spam your log file.',08/23/22,'Bruce'
'ui','AzuClock',' https://thunderstore.io/c/valheim/p/Azumatt/AzuClock/','Nexus','https://www.nexusmods.com/valheim/mods/1193','Approved -but not Tested','Uhh... translates your uncivilized coversations into words of culture.',,06/22/21,'redseiko@'
'ui','Crafting Filter',' https://www.nexusmods.com/valheim/mods/1219',,,'Working - Approved','Adds a clock widget to the screen to show in-game time.','Same as Clock but updated to work.',05/07/23,'eardwulf@'
'ui','Custom Loading Screens',,'Thunderstore',,'Deprecated-Not Approved','This mod adds a filter to the crafting tab',,05/06/22,'Noctis'
'ui','Intermission',' https://valheim.thunderstore.io/package/ComfyMods/Intermission/','Nexus','https://www.nexusmods.com/valheim/mods/389','Working - Approved','Change your loading screen',,07/07/21,'Jemmeh'
'ui','Emote Wheel Reworked',' https://thunderstore.io/c/valheim/p/ValheimValkream/EmoteWheelReworked/',,,'Working - Approved','Show custom images and tips on the loading screen.','Required for ComfyLoadingScreens.',02/03/23,'redseiko@'
'ui','Equip Wheel',' https://valheim.thunderstore.io/package/virtuaCode/EquipWheel/',,,'Working - Approved','Use emotes more easily.',,07/19/25,'eardwulf@'
'ui','First Person View',' https://valheim.thunderstore.io/package/Masa/FirstPerson/','Nexus','https://www.nexusmods.com/valheim/mods/536','Broken-Not Approved','Equip items more easily.',,04/05/21,
'ui','Round Stone Scroll First Person View',' https://valheim.thunderstore.io/package/RoundStone/RoundStoneScrollFirstPerson/',,,'Broken-Not Approved','First-Person Camera, toggle it with F6 (default) Change Fov with ArrowUp & ArrowDown to test what fov suits you. Default fov is 90.',,04/05/21,
'ui','Minimal Status Effects',' https://valheim.thunderstore.io/package/RandyKnapp/MinimalStatusEffects/',,,'Broken-Not Approved','Just zoom all the way in to go into first person mode.',,05/03/22,'Noctis'
'ui','StatusQuo',' https://thunderstore.io/c/valheim/p/ComfyMods/StatusQuo/',,,'Working - Approved','Shrink and move status effects list.','Use StatusQuo as a better replacement.',04/07/21,
'ui','Project Auga',' https://valheim.thunderstore.io/package/RandyKnapp/Auga/',,,'Working - Approved','Compact StatusEffects list display.','Replacement for MinimalStatusEffects.',09/28/25,'rosch@'
'ui','Quick Connect',' https://valheim.thunderstore.io/package/bdew/QuickConnect/','Nexus','https://www.nexusmods.com/valheim/mods/1413','Deprecated-Not Approved','A massively different look for the UI.','NOT compatible with many of our mods, most people will not be able to use this. Not currently comptaible with the Comfy Modpack. ',08/05/21,'Jemmeh'
'ui','FastLink',' https://valheim.thunderstore.io/package/Azumatt/FastLink/','Nexus','https://www.nexusmods.com/valheim/mods/193','Working - Approved','Adds list of your favorite servers to the start screen.','Follow directions, you will need to edit the config file to include Comfy Valheim:comfy.cybermancy.org:2456',06/12/21,
'ui','Real Clock',,,,'Working - Approved','Adds list of your favorite servers to the start screen.','Follow directions, you will need to edit the config file to include Comfy Valheim:comfy.cybermancy.org:2456',12/12/22,'Eardwulf'
'ui','Shortcuts',' https://valheim.thunderstore.io/package/ComfyMods/Shortcuts/','Nexus','https://www.nexusmods.com/valheim/mods/489','Approved -but not Tested','Adds IRL time clock into your game so you don''t have to tab out to check the real time.','Different than the Clock mod which shows you in-game time, this shows you the ACUTAL time.',06/18/21,
'ui','BetterZeeLog',' https://valheim.thunderstore.io/package/ComfyMods/BetterZeeLog/',,,'Working - Approved','Re-assign more keyboard shortcuts that are hard-coded/unconfigurable in vanilla. Unbinds kill all.',,09/20/21,'Jemmeh'
'ui','VHVR',,,,'Working - Approved','Adds a timestamp to vanilla logging and makes them more compact.',,03/12/23,'redseiko@'
'ui','AlaCarte',' https://valheim.thunderstore.io/package/ComfyMods/AlaCarte/','Nexus','https://www.nexusmods.com/valheim/mods/847','Working - Approved','Play Valheim in VR.  Not compatible with Enhuddlement.','This is a fan made vr support so keep in mind it can be a little clunky to use things. (Jem: I can''t personally test this one, you''ll have to just check the forum on the mod page to see if it''s working. Or just try it.) (Reported by a user as not working with  CV1 Oculus on 6/19/2023. But they may patch it and it may vary with your setup. Again, clunky mod!)',07/02/21,'Jemmeh'
'ui','CrosshairChanger',' https://valheim.thunderstore.io/package/blacks7ar/CrosshairChanger/',,,'Working - Approved','Menu enhancement and customization.',,01/10/23,'redseiko@'
'ui','Hygge',' https://valheim.thunderstore.io/package/ComfyMods/Hygge/','Nexus','https://www.nexusmods.com/valheim/mods/2379','Working - Approved','Allows you to change the crosshairs color and size, and can also be use to hide the crosshair completely.',,10/14/23,'redseiko@'
'ui','HomieHeadcount',' https://valheim.thunderstore.io/package/ComfyMods/HomieHeadcount/',,,'Working - Approved','Adds comfort groups and values of hovered or selected pieces to your build menu hud.',,11/16/23,'Bruce'
'ui','Configula',' https://valheim.thunderstore.io/package/ComfyMods/Configula/','GitHub','https://github.com/BruceOfTheBow/BruceComfyMods/tree/main/HomieHeadcount','Working - Approved','Adds panel that displays summoned skeleton info.',,11/26/23,'Bruce'
