biome,isFinisher,quest,requirements,reward,format,context
Swamp,0,"Whacha doin in mah swamp, comrade?","(Group of 3 or more! Only one person needs to post for the group)The group must collectively provide: 1 stack Thistle, 1 stack Ancient Bark, 10 Guck, 10 Ooze and 1 Bonemass Trophy. Reward per person. ( @tag every participant + screenshot of group at Bonemass + SS of turn in chest)",Lv3 Iron Pickaxe + 1 Stack Frost Mead,"/bestwest submit_quest quest_name:Whacha doin in mah swamp, comrade? quest_participants: quest_box: image: image2:",Coordinate group; SS must show all items in chest and group at Bonemass.
Swamp,1,Conqueror of the Cursed,Finish all swamp quests,Longship,/bestwest submit_quest quest_name:Conqueror of the Cursed,Complete all Swamp quests first; final SS shows completion.
Mountain,0,Wyvern without you,"Go to BW island -> BW Quest Hub & find the Mountain portal. Meet up with Comrade Pavel, then make a SS of Sir Drakesalot in his cabin\n(insert screenshot of Sir Drakesalot WITHOUT Minimap)",-40 °F Package:20 Wolf Skewer + 10 Eyescream + 3 Frost & Health Meads,/bestwest submit_quest quest_name:Wyvern without you image:,Meet NPCs and document Drakesalot in cabin; SS must exclude minimap.
Mountain,0,Here today dragon(e) tomorrow,Solve the riddle in the cabin basement to find the cultist camp. Make a SS of the DragonTear in the Dragon Pit\n(insert screenshot of the DragonTear in the Dragon Pit),Wolf Cape Lv2,/bestwest submit_quest quest_name:Here today dragon(e) tomorrow image:,Solve puzzle in basement; SS must clearly show DragonTear in pit.
Mountain,0,"Ice, ice Baby",Follow the tears to the Lair. SS of each egg (3 total) with the fires underneath burning(SS of each egg (3 total) with the fires underneath burning),Wolf Set Lv3,"/bestwest submit_quest quest_name:Ice, ice Baby image: image2: image3:",Capture all 3 eggs; SS must show fires and eggs clearly.
Mountain,0,Have you seen my Moder?,"(Group of 3 or more! Only one person needs to post for the group)The group must collectively provide: 25 Wolf fur, 25 Wolf fang, 20 Mountain trophies and 1 Moder Trophy Reward per person (@tag every participant + SS of group at Moder + SS of turn in chest)",500 gold + 100 Silver arrows + 1 St. Fire Restistance Mead ,/bestwest submit_quest quest_name:Have you seen my Moder? quest_participants: quest_box: image: image2:,Coordinate group; SS of all items at Moder; tag everyone.
Mountain,1,Hero of Hoarfrost,Finish all mountain quests,Lv. 4 Draugr Fang,/bestwest submit_quest quest_name:Hero of Hoarfrost,Complete all Mountain quests first; final SS shows completion.
Plains,0,I got you Babe,"Go to BW island -> BW Quest Hub & find the Plains portal. Follow the clues and take a screenshot of Sapphire, Emerald and Rocky ! SS must be taken in the plains area, not on the ocean-spaceisland!\n(insert SS of Sapphire, Emerald and Rocky WITHOUT Minimap)",Lv. 1 Blackmetal axe,/bestwest submit_quest quest_name:I got you Babe image: image2: image3:,Follow clues to Plains portal; SS must show all three locations in Plains.
Plains,0,"We are Family, I got all my sisters with me",Follow the trail to catch up with the family. Take a screenshot of the House Rules at the final destination\n(insert SS of the House Rules),3 x Plains Pie picnic1x Serving Tray3 Fuling Totems,"/bestwest submit_quest quest_name:We are Family, I got all my sisters with me image:",Follow family trail; SS must show House Rules at destination.
Plains,1,A King without its Crown,"Kill Yag in a group of 3 or more! Only one person needs to post for the group)The group must collectively provide: 50 Lox fur, 100 Cloudberries, 3 Torn Spirits and 20 Plains trophiesReward per person (tag every participant + SS of everyone on top of a lox at the same time + SS of turn in chest)",999 gold + 100 Needle arrows + 1  Wisplight,/bestwest submit_quest quest_name:A King without its Crown quest_participants: quest_box: image: image2:,Coordinate group kill; SS must show everyone on Lox simultaneously and chest turn-in.
